,Sentence,labels
9823, Mein Körpergewicht ist in den letzten drei Monaten nur minimal angestiegen.,1
13846," Wenn ich das richtig verstanden habe, dann könnte ich mich dadurch besser auf mein Ziel konzentrieren.",0
14953," Und wenn ich dann nicht sofort Erfolge erziele, bin ich verzweifelt.",0
2406," Ich mag es nicht, wenn meine Kleidung zu weit ist.",0
21519, Ich trinke keinen Alkohol mehr.,1
2467, Ich will gesünder leben und mich mehr bewegen.,0
17230, Hallo!,0
22872, Ich kann mir eine Liste machen.,0
21156, Ich werde mich auch mehr bewegen.,2
22740, Ich könnte vieles tun.,0
9761, Ich bin auch ins Fitnessstudio gegangen und habe dort ein paar Übungen gemacht.,1
10172," Was würde passieren, wenn du dein Gewicht erfolgreich reduzieren kannst?",0
21789," Ich habe vor ein paar Wochen begonnen, meine Ernährung umzustellen.",1
12726, Ich kann auch mehr Sport treiben und weniger Alkohol trinken.,0
24774, Ich würde gerne mehr Sport machen.,0
5699," Ich habe mir gedacht, dass ich einige Tage lang aufschreibe, was ich esse und wie genau ich esse.",2
17734, Einmal durchhalten!,0
2890," Ich glaube, ich muss mindestens 10 kg abnehmen.",0
15687," Ich mache mir viel zu viele Gedanken und habe Angst, dass ich es nicht schaffe.",0
8212, Ich werde die nächsten Tage mit meiner Familie verbringen.,2
12269, Ich möchte einen schönen Bauch haben und meine Hüften möchte ich auch gerne schmaler.,0
8611," Ich erhoffe mir, dass ich mein Gewicht reduzieren kann.",0
15903," Ja, das ist eine gute Idee.",0
9889, Ich habe meinen Kalorienverbrauch verdoppelt.,1
13382, Hallo!,0
13596, Ich werde nur noch gesunde Lebensmittel essen und mich mehr bewegen.,2
24032, Hallo!,1
1178, Mein Gewicht.,0
4484," Ich habe angefangen, mich bewusst zu ernähren und mich mehr zu bewegen.",1
5724, Ich werde einige Tage mein Essverhalten beobachten und dann meine Essgewohnheiten anpassen.,2
14650, Ich bin schon lange auf Diät und komme trotzdem nicht vom Fleisch und den Süßigkeiten weg.,0
23648, Ich muss eine gute Veränderung an meinem Körper erleben.,0
3864," Ich habe mir einen Kalorienrechner aus dem Internet heruntergeladen, um meine tägliche Kalorienaufnahme zu kontrollieren.",1
5664," Ich werde dazu einige Fragebögen ausfüllen, die mir helfen, meinen Standpunkt zu erkennen und zu reflektieren.",2
9924,“ Und tatsächlich habe ich nie wieder so viel gegessen.,1
5317, Weil ich mein Gewicht im Griff haben will.,0
8642, Hallo!,0
2100, Ich würde gerne wissen warum ich das Problem habe.,0
12909, Ich bin zu faul zum laufen!,0
23700, Ich habe eine gesunde Ernährung und Sport.,0
9072," Ich werde mich an meinen Ernährungsplan halten, das heißt ich werde morgens eine gesunde Mahlzeit zu mir nehmen und abends eine kleine Portion Salat essen.",2
1780," Ähm, ich nehme ab, wenn ich eine Diät mache.",0
483," Habe mich eigentlich immer gut geschlagen, aber dann ging es plötzlich nur noch bergab.",0
20857, Hallo!,0
16568," Ich werde mich nicht auf ungesunde Snacks verlassen, um mich durch die Nacht zu bringen.",2
7125, Ich sollte mehr Sport treiben.,0
5487," Ich habe meine Kalorienzufuhr gesenkt und möchte eine App haben, die mir hilft, mein Gewicht zu kontrollieren.",0
23368, Hallo!,0
25064, Ich möchte eine gesündere Lebensweise haben.,0
10764," Ich habe einmal angefangen, mich öfter zu bewegen.",0
4656, Ich möchte mehr Obst und Gemüse essen.,0
5153, Dann müsste ich nicht so viel essen.,0
18132, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
14611, Frustrierend.,0
21752," Ich habe einige Bücher über das Thema Gewichtsreduktion gelesen und mich mit einem Freund zum Abnehmen verabredet, der das schon seit längerem versucht.",1
19307, Hallo!,1
21965, Ich möchte eine gesündere Lebensweise haben.,0
13486," Ich bin vor allem dankbar für die Hilfe, die ich von meiner Ernährungsberaterin bekommen habe.",0
3250, Ich habe mich mit einer Ernährungsberaterin getroffen und sie hat mir einige Anregungen gegeben.,2
18323, Das hat mir sehr gut getan.,1
4489," Ich habe auch angefangen, mehr Wasser zu trinken.",1
23642, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
7404, Ich fühle mich wohler und weniger schlapp.,0
14156, Außerdem habe ich meinen Kaffee weggelassen.,1
21567," Ich esse jetzt nur noch einfache Gerichte, die ich auch selber zubereiten kann.",1
15354," Ich kann schlecht essen, ohne dass es mir schwer fällt.",0
510, Ich kann einfach nicht abnehmen!,0
595, Ich will mehr Sport machen und weniger Süßigkeiten essen.,2
11245," Ich würde mir viele Gedanken über mein Gewicht machen und mir Sorgen machen, dass ich nicht mehr auf die Waage steigen kann.",0
5597," Ich möchte meine Ernährung umstellen, weniger konsumieren, essen was ich will und mich besser fühlen, indem ich mehr Sport treibe.",2
19976, Ich will keine Diät machen.,0
4070, Ich kann selbständig arbeiten und bin zuverlässig.,0
25836, Ich werde mehr Sport treiben.,2
1840, Ich könnte mehr Sport treiben.,0
18369, Ich will weniger essen.,0
12669," Ich kann meine Ernährung umstellen, ich kann mich bewegen und ich kann meine Gedanken ändern.",0
19133, Ich werde meine Ernährung umstellen und mehr Sport treiben.,2
5189," Ich möchte mein Leben verändern und gesünder leben, weil ich es mir wert bin.",0
4393, Ich esse schon seit längerem nicht mehr so viel und habe auch angefangen viel Sport zu treiben.,1
15884, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
22655, Ich will meine Gesundheit verbessern.,0
23394," Ich würde es wollen, weil ich mir mein Leben lang vorgestellt habe, dass ich eine schlanke Figur habe.",0
16833," Ich glaube, dass ich mir keine Sorgen darüber machen sollte, was andere Leute denken.",1
954," Ich esse jetzt viel mehr Obst und Gemüse, weniger Fett und Zucker.",1
24563," Ich kann einfach nicht aufhören zu essen, wenn ich anfange.",0
25296, Ich möchte mich besser fühlen.,0
19866, Ich weiß nicht.,0
3576," Ich habe ein paar Diäten ausprobiert, aber ich habe nie lange durchgehalten.",2
19959, Ein bisschen Hilfe beim Essen und Sport.,0
11390, Ich möchte auch meine Gesundheit nicht gefährden.,0
16566, Ich werde meine Ernährung umstellen und mich an ein gesundes Essverhalten gewöhnen.,2
7442," Ich freue mich darauf, weniger zu wiegen, weil ich mich dann besser fühle.",0
22044, Ich will mehr Obst und Gemüse essen.,2
7785," Ich brauche einen Online-Coach, der mir hilft, meine Vorfreude auf eine gesunde Ernährung aktiv zu nutzen.",0
14974," Ich fühle mich belastet, wenn ich abnehmen möchte.",0
20591," Ich möchte mehr Ausdauer haben, wenn ich Sport treibe.",0
4915, Ich habe keine Ahnung.,0
21815, Ich möchte mich wohler fühlen.,0
19084," Ich werde meine Gewohnheiten ändern, damit ich zufriedener mit meinem Gewicht bin.",2
18108," Auch wenn ich es nicht schaffe, ist es mir egal.",0
2899, Ich muss dringend abnehmen.,0
19069, Ich esse jetzt gesünderes Essen und bewege mich wieder mehr.,2
7910, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
20704," Ich brauche eine App, die mir sagt, wie viel Kalorien ich zu mir nehme und wie viel ich zum Abnehmen brauche.",0
22928," Ich kann es mir nicht leisten, meine Gesundheit zu ruinieren.",0
18009, Ich muss immer etwas erledigen.,0
24388," Ich habe versucht, weniger zu essen.",1
1578, Ich kann mehr Sport machen.,0
11051," Ich habe das Gefühl, dass ich keine Disziplin habe.",0
4883, Ich habe keine Hoffnung mehr.,0
9880, Hallo!,1
16318, Ich werde meinen Hausarzt konsultieren.,2
22148, Ich möchte ein besseres Körpergefühl haben.,0
13766, Ich will mein Gewicht reduzieren und dabei auch noch mehr Sport treiben.,0
21635," Ich habe viel Sport getan und darauf geachtet, dass ich mich nicht übele.",1
14840,": Achso, du möchtest nicht zu dick werden.",0
16392," Ich werde meine Ernährung umstellen, und ich werde mehr Sport treiben.",2
9087, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
5301, Ich möchte gesünder leben.,0
18471," Ich möchte weniger Fett essen und mehr Obst, Gemüse und Vollkornprodukte.",0
20874, Du bist ein wunderbarer Helfer.,0
25269, Ich möchte meine Energie steigern.,0
24232," Ich habe das Gefühl, dass ich nicht viel erreicht habe.",1
477," Ich mache immer wieder das Gleiche, und es funktioniert nicht.",0
7880," Ich brauche eine Zauberformel, die mir das Essen von Süßigkeiten und Fast Food verbietet.",0
1133, Ich möchte gerne schlanker werden.,0
18040," Ich muss für jeden Schritt eine Entscheidung treffen, die mich in Richtung meines Ziels führt.",0
21010," Ich weiß, dass ich ein gesünderes Leben führen könnte, aber ich bin nicht sicher, ob ich es kann.",0
6337, Ich habe einige Diäten ausprobiert.,1
24114, Ich habe ein Ernährungstagebuch geführt und mich zweimal die Woche beim Sport getroffen.,1
19765," Ich habe das Gefühl, dass ich es nicht schaffen werde.",0
19119, Hallo!,2
23427, Ich bin zu dick.,0
25830, Ich werde mich bei Essen und Bewegung mehr bewusst sein.,2
15573," Ich weiß nicht, ich habe einfach keinen Bock mehr auf diese ganzen Diäten.",0
12688, Ich möchte abnehmen.,0
13061, Hallo!,0
21558, Ich habe meine Ernährung umgestellt.,1
1288, 130 kg.,0
1598, Ich esse einfach nicht mehr so viel.,0
11342, Hallo!,0
7861, Ich habe ein Problem mit Süßigkeiten.,0
17022," Ich weiß nicht, wie ich meine Ernährung umstellen soll.",0
16096," Hallo, ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.",0
6931," Ich freue mich darauf, wieder so zu sein, wie ich einmal war.",0
18775, Ist das eine Frage?,0
14664," Ich habe oft das Gefühl, dass ich viel zu fett bin und mich schäme.",0
25633," Ich habe das Gefühl, dass ich am Ende des Tages mehr gegessen habe, als ich eigentlich wollte.",0
7661, Ich werde mein Wohlbefinden erhöhen und mehr Freude am Leben haben.,0
5905," Ich werde mir überlegen, wie ich meine Ernährungsgewohnheiten ändern kann.",2
14728, Mhm...,0
21845, Ich möchte gesünder leben.,0
8835," Was muss passieren, damit du mehr Erfolg beim Abnehmen hast?",0
3770," Ich habe auch eine Liste mit Lebensmitteln angefertigt, die ich nicht mehr essen möchte und die mir schaden.",1
8141, Ich gehe jeden Tag zur Arbeit und dann nach Hause.,2
17458, Ich bin einfach zu faul.,0
16055, Ich kann es nicht.,0
15513," Ich glaube, dass ich mich nicht genug bewege.",0
22244, Ich möchte einfach gesünder leben.,0
11355, Ich wäre nicht mehr so fit wie jetzt und hätte vielleicht sogar noch mehr Probleme mit meiner Figur.,0
5045, Ich würde gern mit meinen Freunden mehr Zeit verbringen und auch mal mit meinem Partner schwimmen gehen.,0
21146, Ich werde meine Ernährung umstellen.,2
5553, Ich weiß nicht.,0
24358, ich habe versucht meine Ernährung zu ändern.,1
14962, ICH WILL GESUND UND LEICHT ABNEHMEN!,0
3573," Ich habe versucht, mehr Sport zu treiben, aber ich wurde immer frustriert.",2
18184," Ich habe mir überlegt, was ich essen kann und wie viel davon ich essen sollte.",1
25201, Ich möchte einfach gesünder essen.,0
6659, Ein paar Kilo abnehmen.,0
14126, Ich habe mir einen Plan für den Tag gemacht.,1
389, Ich esse zu wenig und zu wenig gesunde Lebensmittel.,0
7753," Ich brauche ein wenig Unterstützung, um mein Essverhalten zu ändern.",0
13470, Ich möchte mit Dir auf dem Weg zu einem gesünderen Gewicht weitermachen.,0
15037," Ich kann das Gewicht halten, aber ein paar Pfunde zunehmen.",0
1729, Das ist eine gute Frage.,0
6248," Aber ich muss zugeben, dass ich sie nur selten benutze.",1
9120, Ich weiß aber nicht wie.,2
8622," Ich würde gerne anfangen, regelmäßig zu laufen und mich gesünder zu ernähren.",0
23446, A: Warum willst du nicht mehr soviel essen?,0
3995," Ich bin auch ein sehr guter Autor, wenn es um Essen geht.",0
10385, Ich habe immer wieder angefangen.,0
15076," Ich werde mehr Gemüse und Obst essen und weniger Fett, Zucker und Salz zu mir nehmen.",0
103," Ich würde gerne mehr Sport machen, aber irgendwie fehlt mir die Zeit.",0
22737," Wenn ich nicht mehr so viel esse, werde ich weniger wiegen.",0
24031, gehalten.,1
8514, Ich will mein Gewicht halten und gegebenenfalls auch noch abnehmen.,0
10567, Ich habe keine Angst.,0
25142, Ich möchte einfach nur mein Gewicht halten und dabei gesund bleiben.,0
19614," Alexa: Okay, dann werde ich dir eine Liste mit leckeren Rezepten zusammenstellen.",0
7398," Ich freue mich darauf, weniger zu wiegen, weil ich dann mehr Spaß haben werde.",0
8215, Ich möchte ein paar Kilo abnehmen.,2
19161, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
17883, Ich werde mehr Obst und Gemüse essen.,2
17456, Ich kann nicht einfach aufhören zu essen.,0
4810, Ich würde gerne mehr Sport machen.,0
6509, Ich mache mir morgens einen Smoothie und esse ihn zum Frühstück.,1
1459, Ich kann nicht aufhören zu rauchen.,0
17977, Ich bin zu viel beschäftigt mit der Arbeit und mit den Kindern und so weiter.,0
16794, Ich bin ein starker Esser.,1
11040," Ich habe keinen Hunger, und ich bin nicht motiviert.",0
16382, A: Cool.,2
15817, Ich möchte bei meinem Gewicht bleiben und das Abnehmen einfacher gestalten.,0
5595, Ich werde mir Notizen machen und mich dann bewusst für eine andere Essweise entscheiden.,2
13986, Hallo!,2
25365, Ich möchte meine Familie und Freunde nicht durch mein Übergewicht belasten.,0
12799," Ich habe schon einige neue Gewohnheiten, die mir gut tun.",0
8520," Wenn ich meine Ernährung besser in den Griff bekomme, dann werde ich fitter und habe mehr Energie.",0
15928, Ich fühle mich weniger müde.,0
6243," Ich hatte das Gefühl, dass die Apps mir nicht wirklich helfen konnten, einen gesunden Umgang mit dem Essen zu finden.",1
19100, Ich möchte mein Gewicht halten und es bei Bedarf auch wieder etwas reduzieren.,2
21645," Ich habe auch schon das Problem angesprochen, dass ich mich nicht mehr bewege, und habe eine Lösung gefunden: Ich habe mir einen Fitnesstrainer besorgt, der mich in Zukunft durch den Alltag begleitet.",1
4914, Ich kann auch gut zuhören und Dir bei der Entwicklung eines gesünderen Essverhaltens helfen.,0
11928," Ich werde mich in eine neue Welt begeben, die ich noch nicht kenne.",2
22930, Ich möchte gesünder essen und mehr Sport treiben.,0
6982," Ich freue mich darauf, in ein paar Monaten wieder in meine alten Klamotten zu passen.",0
617," Ich will mich an einem gesünderen Ernährungsplan orientieren, der auf den Bedürfnissen des Körpers basiert.",2
16102, Wie kann ich mehr Sport treiben?,0
23172, Ich will mein Leben genießen und nicht nur aufgrund eines Gewichtsproblems verhindert werden.,0
18879, Ich möchte mehr Zeit mit meinen Freunden verbringen.,0
14403," Ich habe eine App gekauft, die mir das Gewicht überwacht.",1
14458, Gute Frage.,1
15244," Zweitens, ich kann meinen Essverhalten ändern.",0
1521," Ich kann mich bewegen, wenn ich mich zu Hause fühle.",0
11585," Was muss passieren, damit du dein eigenes Essverhalten mit mehr Selbstbewusstsein ändern kannst?",0
10323," Ich wünsche mir, dass ich mich besser fühle.",0
11630, Ich weiß es nicht.,0
2248, Zum Beispiel habe ich 15 kg zugenommen.,0
22812, Ich kann mein Gewicht reduzieren.,0
15923," Ich freu mich darauf, dass ich mein Gewicht so leicht halten kann.",0
2746, I’m here to support you on your way to a healthier weight.,0
25053," Ich kann nicht aufhören, sie zu essen.",0
7108, Ich habe einen Plan gemacht.,0
667, Ich habe mich an meinem letzten Geburtstag selbst ein paar gesunde Sachen gekauft.,1
8614," Ich will, dass meine Familie und Freunde mich lieben.",0
18708, Du bist nicht zu dick.,0
5745," Ich werde ihnen beibringen, was ich über das Essverhalten gelernt habe.",2
6897," Ich freue mich auf ein neues, gesünderes Leben.",0
11620, Ich habe einfach keine Lust mehr.,0
3961, Ich bin ein ,0
20322, Ich möchte meinen Körper wieder in Form bringen.,0
21990, Ich will drei Tage lang jeden Tag Sport machen.,2
18186, Ich habe mich im Internet über Kalorien informiert.,1
6727," [Pause] Ich bin glücklich, wenn ich keine Angst mehr habe, dass ich mein Kind nicht mehr halten kann.",0
10721," Ich habe es schon oft versucht, aber nie geschafft.",0
577, Ich möchte abnehmen.,2
4141," Ich habe begonnen, mehr Obst und Gemüse zu essen.",1
19601," Ich möchte gesünder essen, dh mehr Obst und Gemüse, weniger Fleisch und Fett.",0
8650, Hallo!,0
18427," Ich habe einen Riesenhunger, wenn ich Hunger habe.",0
7696, Ich habe schon lange nicht mehr so gut geschlafen.,0
221," Ich werde die Liste jeden Tag einmal durchgehen, um mich daran zu erinnern, was ich esse.",0
3534, Ja.,2
8730," Was muss sich ändern, damit die Gewichtskontrolle besser klappt?",0
25743, Ich werde mehr auf meine Ernährung achten und mehr Sport treiben.,2
13270, Inzwischen wiege ich über 200 Pfund und fühle mich nicht gut dabei.,0
6076, Ich kann mich selbst zum Essen zwingen.,0
3140, Ich werde mich mehr bewegen und auf meine Ernährung achten.,2
1812, Ich könnte eine Diät machen.,0
3546, GEHIRN: Du bist bereit?,2
16972," Wenn ich einmal zu viel gegessen habe, dann gehe ich spazieren.",1
8961," Ich weiß nicht, ich habe auch schon alles probiert.",0
22971," Ich kann mich daran erinnern, dass ich mich wohler fühle, wenn ich mich gesund und fit fühle.",0
16968," Ich habe vor langer Zeit gelernt, dass ich mir dann einen kleinen Snack gönnen sollte, um meine Gefühle zu beruhigen.",1
2186," Ich weiß einfach nicht, was ich essen soll.",0
22538, Ich möchte meinen Körper besser kennenlernen.,0
12136, Ich habe die App „Lose It!,1
22747, Ich könnte mehr Sport treiben.,0
22226, Ich will ein besseres Leben führen.,0
25150, Ich möchte Gewicht verlieren.,0
4068, Welche Fähigkeiten bringst du mit um dein Gewicht halten oder sogar senken zu können?,0
16822," Mein Mann und ich haben uns angewöhnt, nach dem Abendessen eine halbe Stunde zu spazieren.",1
22953," Ich kann das tun, was mein Verstand mir sagt.",0
3010, Ich will nur noch essen.,0
20025, Ich habe ein großes Bedürfnis nach Veränderungen.,0
10322," Ich wünsche mir, dass ich mein Gewicht halten kann und mich nicht mehr so viel mit Essen beschäftigen muss.",0
2326, Ich habe einen Bauch.,0
18237," Als ich mir meine Gewichtskurve angesehen habe, habe ich gemerkt, dass das Problem gar nicht mehr mein Übergewicht ist, sondern die ständige Gewichtsfluktuation.",1
1412, Ich möchte meine Gesundheit bewahren.,0
8654," Das ist es, was ich tun kann.",0
11368," Ich will nicht mehr so viel essen, dass ich mich schlecht fühle.",0
8150, Ich werde ein paar Tage mit meinem Mann verreisen.,2
15825," Ich bin eigentlich durchaus motiviert, aber ich habe wenig Erfolg.",0
7294, Ich gehe einfach mehr spazieren.,0
4857, Ich könnte mich mehr bewegen.,0
23564," Ich würde es wollen, weil ich mich dann besser fühlen würde.",0
11598, Ich muss mehr Selbstwertgefühl entwickeln.,0
1076," Es fällt mir leichter, Sport zu treiben.",1
15389," Ich habe mich sehr bemüht, aber ich habe es nicht geschafft.",0
18884, Hallo!,0
10256, Ich möchte abnehmen.,0
24241," Ich habe versucht, schneller zu essen.",1
2098, Ich esse nicht viel und ich mache Sport.,0
10682, Hallo!,0
9950, Ich habe angefangen mein Essen aufzuschreiben.,1
24179, Hallo!,1
15049," Wenn ich mein Gewicht reduzieren will, muss ich aufhören zu essen.",0
2358, Ich möchte nicht mehr so dick sein.,0
23985, Ich will eine Diät machen.,2
21275," Ich plane eine Ernährungsumstellung von „Fast Food“ zu viel frischem Gemüse, Obst und Fleisch.",2
11269," Ich würde dann vielleicht einen Herzinfarkt bekommen, weil ich zu dick bin.",0
114, Ich würde gerne mehr Sport machen,0
2459, Ich bin zu dick.,0
14121, Ich habe ein paar Bücher über Abnehmen gelesen.,1
16372," Ich werde denken, dass ich ein gesünderes Essen bestellt habe.",2
9755, Ich habe in diesem Jahr viel weniger gegessen.,1
12780," Es gibt viele Wege, diese Frage zu beantworten.",0
9121, Also werde ich zuerst mal meine Ernährung umstellen.,2
14601, Ich habe zu viel Angst vor dem nächsten Schritt.,0
10783, Ich habe mich schlecht gefühlt und war enttäuscht.,0
23677," Was muss passieren, damit du dein Gesundheitsverhalten änderst?",0
17625," Die beste Möglichkeit ist, das Gewicht auf eine Art und Weise zu verlieren, die dauerhaft ist.",0
20124," Ich bin motiviert, ich habe ein Ziel.",0
6103," Wie wäre es, wenn ich einfach nur meine Ernährung umstelle?",0
14248, Ich habe mich gesünder ernährt.,1
25003, Ich muss meine Ernährung umstellen und mehr Bewegung in mein Leben bringen.,0
118, Ich würde gerne mehr Sport treiben und auf Fast Food verzichten.,0
13459," Was muss noch passieren, damit du weiterhin bei Essen und Bewegung auf dem richtigen Weg bleibst?",0
22925," Ich kann mich regelmäßig bewegen, um meinen Körper zu stärken und die Gesundheit zu fördern.",0
5278," Ich würde gerne mehr Sport machen, aber das geht jetzt nicht mehr.",0
11880," Ich werde meine Furcht in Angriff nehmen, indem ich anfange abzunehmen.",2
9781, Ich habe ein paar Pfund abgenommen.,1
1875, Ich könnte mehr Sport treiben.,0
10443," Der Grund warum ich es nicht geschafft habe ist, weil ich keine stärken hatte.",0
4417," Ich habe mich dazu entschieden, Gemüse zu kaufen und es zu essen.",1
5215, Ich bin ein gesunder ,0
13627, Ich werde mein Gewicht im Auge behalten.,2
13581, Ich werde auf meine Ernährung achten und mich gesünder ernähren.,2
9104," Ich habe vor, mehr Sport zu treiben und das Essen etwas zu reduzieren.",2
21514, Ich esse jetzt nur noch gesunde Sachen.,1
23282, Ich möchte mich nicht mehr vor den Spiegel stellen und mich selbst nicht mehr sehen.,0
13526, Ich werde einmal die Woche zum Sport gehen.,2
13017," Ich bin mir nur nicht sicher, wie ich das schaffen kann.",0
8879, Ich muss mehr Sport machen.,0
12236," Ich möchte auch nicht mehr so viel essen, um mich dann doch zu ärgern, dass ich nicht schlank genug bin.",0
20263, Ich möchte meine Gesundheit stärken.,0
7188, Ich möchte ein gesünderes Leben führen.,0
12975," Ich habe keine Zeit, ich bin zu müde, ich muss arbeiten, ich habe keine Lust.",0
16485, Ich werde mehr Sport treiben.,2
17023," Ich habe das Gefühl, dass ich nicht genug Zeit habe, um zu trainieren.",0
6624, Ich möchte einfach nur schlank sein.,0
22508," Ich will nicht mehr nur nach dem Essen darauf warten, dass sich mein Hungergefühl wieder legt, sondern wieder genießen können, was ich esse.",0
2895, Ich bin zufrieden so wie ich bin.,0
24600, Und dann bin ich schon wieder hungrig.,0
21985, Ich will deutlich weniger essen und mehr Sport machen.,2
3617," Ich habe schon verschiedene Diäten ausprobiert, aber nichts hat geholfen.",2
20885, Hallo!,0
19330," Ich habe versucht, meine Ernährung umzustellen.",1
20929, Ich habe eine Menge Ideen und Pläne.,0
10873, Ich bin nicht glücklich mit meinem Körper.,0
15455," Ich habe das Gefühl, dass ich nicht genug Zeit habe, um mein Ziel zu erreichen.",0
25759," Ich will mich bewegen, um meinen Körper fit zu halten.",2
9410," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
23332, Ich will endlich ein gesünderes Leben führen.,0
4808, Denn das macht mir Spaß.,0
17955, Hallo!,0
18156, Ich habe ein paar Diäten probiert und auch die üblichen Sportarten ausprobiert.,1
19722," Ich habe einige Probleme, die dazu führen, dass ich zu viel esse.",0
24814, Ich würde am einfachsten meine Ernährung umstellen.,0
13267, Ich möchte gesund leben und mich wohlfühlen.,0
3654, Ich habe alles versucht.,2
1464, Ich werde weniger essen.,0
25734, Ich möchte mehr Sport machen.,0
16690," Ich habe versucht, mich selbst zu motivieren.",1
24565," Ich möchte mein Essverhalten ändern, um gesund zu werden.",0
23228, Weil ich mich schlecht fühle.,0
3421, Du hast ja einen Plan für mich erstellt.,2
11555," Wenn ich nicht mehr so viel essen würde, wäre das schon mal ein Anfang.",0
12574, Ich kann einfach meine Ernährung umstellen und häufiger Sport treiben.,0
19797, Ich möchte weniger essen und Sport treiben.,0
12347, Ich wünsche mir eine schlanke Taille und ein paar Kurven.,0
25497, Ich bin zu faul und möchte nicht aufhören zu essen.,0
21544," Ich habe ein paar Kilo abgenommen, aber leider nicht das, was ich wirklich wollte.",1
2883, Ich möchte einfach nur gesund und fit sein.,0
12961," Ich bin zu faul/unmotiviert/müde, um mich zu bewegen.",0
12899," Ich weiß nicht, wie ich mehr Bewegung in meinen Alltag bringen soll.",0
18616, Ich könnte ein paar mehr Obst und Gemüse essen.,0
25588, Ich möchte mein Gewicht reduzieren.,0
15805," Was muss sich ändern, damit du mit der Gewichtskontrolle besser zurecht kommst und das Abnehmen dich weniger anstrengt?",0
19992, Ich brauche einen Plan.,0
8840, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
2663, Ich möchte einfach nicht mehr so viel essen.,0
9777, Ich habe weniger Kohlenhydrate und Fett gegessen.,1
17864, Ich werde dich nicht enttäuschen.,2
24273," Ich habe versucht, mein Gewicht zu kontrollieren, indem ich Sport gemacht habe.",1
6178, Ich kann dort auch meinen Fortschritt verfolgen und mich selbst motivieren.,0
13938, Ich werde ein paar Schritte auf meinem Weg zu einem gesünderen Gewicht unternehmen.,2
1470, Ich muss mehr Sport treiben und weniger essen.,0
890," Ich habe vor zwei Jahren angefangen, mehr Sport zu treiben.",1
1959, Ich möchte meine Gesundheit für mich und meine Familie erhalten.,0
20556, Ich möchte mein Leben verändern und mehr Energie haben.,0
284, Hallo!,0
14227," Es gibt einige Restaurants in der Nähe, die ich sehr gerne besuche.",1
21876, Ich habe viel Gewicht zugenommen und möchte wieder in meine alten Klamotten passen.,0
17444, Ich habe es schon so oft versucht und es hat doch nie geklappt.,0
18890, Ich möchte mehr Sport treiben und dabei abnehmen.,0
5966, Ich möchte mehr Sport machen und das Essen etwas gesünder auswählen.,2
20173, Ich bin kreativ und neugierig und begeisterungsfähig.,0
21166, Ich werde die Ernährung umstellen und mehr Sport treiben.,2
11611," Was muss passieren, damit du dein eigenes Essverhalten mit mehr Selbstbewusstsein ändern kannst?",0
15459, In der Schule war ich immer die Dicke und die anderen Kinder haben mich gehänselt und gemobbt.,0
4639, Ich habe viel zu viele Kalorien auf meinem Konto.,0
22732, Ich könnte die Motivationsgründe durch eine gesündere Ernährung befriedigen.,0
884," Durch die Umstellung auf eine gesunde Ernährung, fühle ich mich viel besser.",1
13416, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
19998," Ich brauche ein paar gute Tipps und Tricks, wie ich meine Ernährung umstellen kann.",0
15234, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
3095, Ich muss meinen Appetit kontrollieren und mehr Sport treiben.,0
14769, Ich habe einfach kein Durchhaltevermögen.,0
15692, Hallo!,0
5891, Ich möchte mehr Sport machen.,2
15996," Ich weiß nicht, ob ich das will.",0
5452, Ich würde gerne ein paar Kilo abnehmen.,0
18795, Ich möchte gerne weniger essen und auch weniger Süßigkeiten essen.,0
8564, Ich will auch nicht mehr so viel essen.,0
23506, ICH WILL NICHT MEHR SO VIELE SCHOKOLADEN!,0
24688, Ich möchte gerne ein gesünderes Leben führen und mich besser ernähren.,0
1403, Ich will schlanker sein und mich bewegen.,0
3142," Ich habe ein paar Probleme damit, mich gesund zu ernähren und meine Ernährungsgewohnheiten zu ändern.",2
21799," Ich habe mich schon lange gefragt, wie ich abnehmen kann.",1
20122, Ich bin flexibel.,0
11077," Ich habe das Gefühl, dass ich einfach nicht genug Disziplin habe.",0
7012," Ich freue mich darauf, nicht mehr auf die Waage zu steigen und Angst zu haben, dass es wieder angefangen hat.",0
9820, Computer: Was ist gesund?,1
139, Ich würde gerne mehr Sport machen und auch mal ein paar Schritte zu Fuß gehen.,0
5481, Hallo!,0
16123," Ich glaube, dass es mir helfen würde, wenn ich meine Ernährungsgewohnheiten ändere.",0
19255, Ich habe jeden Tag einen Salat gemacht und ich habe jeden Tag Obst gegessen.,1
